,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1970.0,0.0,30.0,0.0,50.0
1,1970.0,0.0,30.0,1.0,50.0
2,1970.0,0.0,30.0,2.0,50.0
3,1970.0,0.0,30.0,3.0,50.0
4,1970.0,0.0,30.0,4.0,50.0
5,1970.0,0.0,30.0,5.0,50.0
6,1970.0,0.0,30.0,6.0,50.0
7,1970.0,0.0,30.0,7.0,50.0
8,1970.0,0.0,30.0,8.0,50.0
9,1970.0,0.0,30.0,9.0,50.0
10,1970.0,0.0,30.0,10.0,50.0
11,1970.0,0.0,30.0,11.0,50.0
12,1970.0,0.0,30.0,12.0,50.0
13,1970.0,0.0,30.0,13.0,50.0
14,1970.0,0.0,30.0,14.0,50.0
15,1970.0,0.0,30.0,15.0,50.0
16,1970.0,0.0,30.0,16.0,50.0
17,1970.0,0.0,30.0,17.0,50.0
18,1970.0,0.0,30.0,18.0,50.0
19,1970.0,0.0,30.0,19.0,50.0
20,1970.0,0.0,30.0,20.0,50.0
